Number,Institution,Group,Password Expiration,Expiration time,"Specific affiliates
 (if relevant)",Link,Password Composition Rules,"Specific affiliates 
(if relevant)",Link,"Knowledge-Based Authentication (""Security Questions"")","Specific affiliates 
(if relevant)",Link,Multifactor Authentication ,Specific affiliates (if relevant),Multifactor authentication provider,Link
16,"University of California, Los Angeles",US Universities,No information found,,,,Recommended,,https://www.seasnet.ucla.edu/how-to-create-strong-passwords/,No information found,,,Required for all affiliates,,Duo,https://ociso.ucla.edu/iamucla/mfa-at-ucla
17,Rice University,US Universities,Recommended,1 year,,https://kb.rice.edu/page.php?id=58397&rd=1 ,Required for all affiliates,,https://kb.rice.edu/page.php?id=65427 ,No information found,,,Required for all affiliates,,Duo,https://kb.rice.edu/page.php?id=78235
18,Dartmouth College,US Universities,Discouraged,,,https://services.dartmouth.edu/TDClient/1806/Portal/KB/ArticleDet?ID=160959,Disallowed,,https://services.dartmouth.edu/TDClient/1806/Portal/KB/ArticleDet?ID=160959,Disallowed,,https://kb.thayer.dartmouth.edu/article/442-duo-two-factor-authentication,Required for all affiliates,,Duo,https://kb.thayer.dartmouth.edu/article/442-duo-two-factor-authentication
19,Vanderbilt University,US Universities,Required for all affiliates,1 year,,https://tdx.vanderbilt.edu/TDClient/33/Portal/Requests/ServiceOfferingDet?ID=92,No information found,,,Recommended,,https://tdx.vanderbilt.edu/TDClient/33/Portal/KB/ArticleDet?ID=116,Required for all affiliates,,Duo,https://news.vanderbilt.edu/2023/08/30/stay-secure-multi-factor-authentication-now-available-for-microsoft-office-applications/
20,University of Notre Dame,US Universities,Disallowed,,,https://nd.service-now.com/kb_view.do?sys_kb_id=e4e0e86b874f65148c750d48dabb35cd,No information found,,,Required for all affiliates,,https://nd.service-now.com/nd_portal?id=product_page&sys_id=8359d9c7db22a34099dcf25bbf9619e8&table=cmdb_ci_business_app,Required for all affiliates,,Okta,https://oit.nd.edu/about/news-and-updates/celebrate-cyber-security-awareness-month/
21,Williams College,US Liberal Arts,Required for specific affiliates,180 days,Faculty and staff,https://hr.williams.edu/faculty-staff-self-service/getting-started/,Required for all affiliates,,https://oit.williams.edu/help-guides/accounts/creating-a-strong-and-unique-password/,No information found,,,Required for all affiliates,,Okta,https://service.williams.edu/TDClient/174/Portal/KB/ArticleDet?ID=2525
22,Amherst College,US Liberal Arts,Required for specific affiliates,1 year,Employees,https://www.amherst.edu/help/passwords,Required for all affiliates,,https://www.amherst.edu/help/passwords/rules,No information found,,,Required for all affiliates,,Duo,https://www.amherst.edu/offices/it/security/two-factor-authentication
23,United States Naval Academy,US Liberal Arts,Required for all affiliates,60 days,,https://www.usna.edu/PasswordPortal/password-policy-background.php,Required for all affiliates,,https://www.usna.edu/PasswordPortal/password-policy.php,Required for all affiliates,,https://www.usna.edu/PasswordPortal/password-changing.php,No information found,,,
24,Pomona College,US Liberal Arts,Disallowed,,,https://www.pomona.edu/sites/default/files/its-identity-management-authentication-access-control-policy.pdf,Required for all affiliates,,https://pomonacollege.freshservice.com/support/solutions/articles/18000021761,No information found,,,Required for all affiliates,,Duo,https://pomonacollege.freshservice.com/support/solutions/articles/18000023191
25,Swarthmore College,US Liberal Arts,Required for all affiliates,180 days,,https://swatkb.atlassian.net/wiki/spaces/PS/pages/20382567/Resetting+Passwords,Recommended,,https://www.swarthmore.edu/its/password-tips,No information found,,,Required for all affiliates,,Duo,https://swatkb.atlassian.net/wiki/spaces/PS/pages/20382596/Duo+Two-Factor+Authentication
26,Wellesley College ,US Liberal Arts,Recommended,1 year,,https://www1.wellesley.edu/lts/techsupport/accounts,Required for all affiliates,,https://reset.wellesley.edu,No information found,,,Required for all affiliates,,Duo,https://www1.wellesley.edu/lts/duo/duo-setup
27,United States Air Force Academy,US Liberal Arts,No information found,,,,Required for all affiliates,,https://usafa.isportsman.net/Login.aspx#Register,No information found,,,Required for all affiliates,,,https://www.usafa.af.mil/US-Air-Force-Academy-News/News-View/Article/2586266/air-force-academy-improves-academic-network-security/
28,United States Military Academy at West Point,US Liberal Arts,No information found,,,,Required for specific affiliates,Alumni,https://alumni.westpointaog.org/login?chid=101&bm=56383097,No information found,,,Required for all affiliates,,Microsoft Authenticator,https://help.westpoint.edu/portal/kb?id=110&text=microsoft%20authenticator&entity=articles
29,Bowdoin College,US Liberal Arts,No information found,,,,Required for all affiliates,,https://bowdoin.teamdynamix.com/TDClient/1814/Portal/KB/ArticleDet?ID=22896,Required for all affiliates,,https://bowdoin.teamdynamix.com/TDClient/1814/Portal/KB/ArticleDet?ID=159006,Required for all affiliates,,Okta,https://bowdoin.teamdynamix.com/TDClient/1814/Portal/KB/ArticleDet?ID=159006
30,Carleton College,US Liberal Arts,Required for specific affiliates,1 year,Affiliates with MFA not enabled,https://www.carleton.edu/its/services/accounts/passwords/,Required for specific affiliates,Affiliates with MFA not enabled,https://www.carleton.edu/its/services/accounts/passwords/,No information found,,,Required for all affiliates,,Duo,https://www.carleton.edu/its/services/accounts/two-factor/
31,Barnard College,US Liberal Arts,No information found,,,,No information found,,,No information found,,,Required for all affiliates,,Duo,https://barnard.edu/password
32,Claremont McKenna College,US Liberal Arts,Recommended,often,,https://www.cmc.edu/information-technology/account-management,Recommended,,https://www.cmc.edu/information-technology/account-management,Required for specific affiliates,Students,https://netpartner.cmc.edu/NetPartnerStudent/Logon.aspx?ReturnUrl=/NetPartnerStudent#,Required for all affiliates,,Duo,https://www.cmc.edu/information-technology/duo-multi-factor-authentication
33,Grinnell College,US Liberal Arts,No information found,,,,Required for specific affiliates,Alumni,https://alumni.grinnell.edu/change-username-or-password,No information found,,,Required for specific affiliates,Students,Duo,https://admission.grinnell.edu/register/?id=708b248c-1509-4de0-95b7-c8808046ae09
34,Middlebury College,US Liberal Arts,No information found,,,,Required for all affiliates,,https://www.middlebury.edu/information-technology-services/policies/information-security-policies/password-policy,No information found,,,Required for all affiliates,,Microsoft Authenticator,https://www.middlebury.edu/information-technology-services/services/information-security/multi-factor-authentication
35,Wesleyan University,US Liberal Arts,Required for specific affiliates,1 year,Affiliates with MFA not enabled,https://www.wesleyan.edu/its/policies/Standards/password-standard.html,No information found,,,No information found,,,Required for all affiliates,,Duo,https://wesleyanargus.com/2024/09/30/university-introduces-new-security-and-employment-softwares/
36,Davidson College,US Liberal Arts,No information found,,,,Disallowed,,https://support.ti.davidson.edu/hc/en-us/articles/4424825732631-Password-Reset-and-Account-Recovery,No information found,,,Recommended,,Duo,https://support.ti.davidson.edu/hc/en-us/articles/360055754354-MFA-Multi-Factor-Authentication
37,Hamilton College,US Liberal Arts,Disallowed,,,https://www.hamilton.edu/offices/lits/identity/password#,Disallowed,,https://www.hamilton.edu/offices/lits/identity/password#,Required for all affiliates,,https://www.hamilton.edu/offices/lits/rc/hamilton-passwords-faq,Required for all affiliates,,Duo,https://www.hamilton.edu/offices/lits/rc/duo
38,Harvey Mudd College,US Liberal Arts,No information found,,,,Required for all affiliates,,https://docs.google.com/document/d/1zja7O_61L9gc5eu7DknK4d-ro8hbD9K0aHzBM4Yu7Bs/edit?tab=t.0,Recommended,,https://www.hmc.edu/cis/services/password-and-account-management-kiosk/,Required for all affiliates,,Duo,https://docs.google.com/document/d/1UHlq8zQDmmX2m4Tya0SvVszB1-9xqViVITuyWs5lriI/pub 
39,Smith College,US Liberal Arts,Recommended,Periodically,,https://www.smith.edu/tara/security/passwords_security.html,No information found,,,Required for specific affiliates,Employees,https://www.smith.edu/sites/default/files/media/Documents/HR/bannerweb_instruct.pdf,Required for all affiliates,,Duo,https://www.smith.edu/tara/security/duo.html
40,Vassar College,US Liberal Arts,No information found,,,,No information found,,,No information found,,,Required for all affiliates,,Duo,https://docs.google.com/document/d/1YPmANO3eGdiieiuQ1LlWvH8VopyXCogBdXWJT022p-E/preview?_gl=1*1n07k1o*_ga*MTc3NTY1NTkxMS4xNzI5MTAxODYw*_ga_GK60KNYSK7*MTcyOTEwMTg1OS4xLjEuMTcyOTEwMjM3MC40Ni4wLjA.&pli=1&tab=t.0
41,Colgate University,US Liberal Arts,No information found,,,,Recommended,,https://www.colgate.edu/about/campus-services-and-resources/creating-and-securing-strong-passwords,No information found,,,Required for all affiliates,,Duo,https://www.colgate.edu/about/campus-services-and-resources/multi-factor-authentication
42,Haverford College,US Liberal Arts,No information found,,,,No information found,,,No information found,,,Required for all affiliates,,Duo,https://haverford.teamdynamix.com/TDClient/114/Portal/KB/ArticleDet?ID=395
43,Washington and Lee University,US Liberal Arts,Disallowed,,,https://my.wlu.edu/its/how-to/password-policy,Required for all affiliates,,https://my.wlu.edu/its/how-to/password-policy,No information found,,,Required for all affiliates,,Duo,https://itsnews.wlu.edu/the-choice-to-adopt-duo-is-simple-and-straightforward/
44,United States Coast Guard Academy,US Regional,No information found,,,,Required for specific affiliates,Students,https://uscga.edu/admissions/incoming-class/,No information found,,,No information found,,,
45,Cooper Union for the Advancement of Science and Art,US Regional,Recommended,6 months,,https://cooper.edu/about/information-technology/security-best-practices,Recommended,,https://cooper.edu/about/information-technology/security-best-practices,No information found,,,Required for all affiliates,,Microsoft Authenticator,https://cooper.edu/sites/default/files/uploads/assets/site/files/2022/mfa_registration.pdf
46,United States Merchant Marine Academy,US Regional,Required for all affiliates,60 days,,https://www.usmma.edu/sites/usmma.dot.gov/files/2022-11/SUPINST%202022-10a%20%28USMMA%20Sea%20Year%20Handbook%29.pdf,No information found,,,No information found,,,No information found,,,
47,Grove City College,US Regional,No information found,,,,No information found,,,No information found,,,No information found,,,
48,Maine Maritime Academy,US Regional,Required for all affiliates,1 year,,https://mainemaritime.edu/it-department/wp-content/uploads/sites/8/2014/09/AccountPolicyandStandards.pdf,Required for all affiliates,,https://mainemaritime.edu/it-department/wp-content/uploads/sites/8/2014/09/AccountPolicyandStandards.pdf,No information found,,,Required for specific affiliates,Staff,,https://mainemaritime.edu/it-department/wp-content/uploads/sites/8/2014/09/AccountPolicyandStandards.pdf
49,Pennsylvania College of Technology,US Regional,No information found,,,,No information found,,,No information found,,,Required for specific affiliates,Users of some systems,,https://www.pct.edu/media/3405/download?inline
50,Elmira College ,US Regional,No information found,,,,No information found,,,No information found,,,Recommended,,Gmail,https://www.elmira.edu/welcome-to-elmira/about-ec/offices/information-technology/resources/overview
51,Alfred State College--SUNY,US Regional,Required for all affiliates,120 days,,https://www.alfredstate.edu/help-desk,Required for all affiliates,,https://www.alfredstate.edu/help-desk,Recommended,,https://www.alfredstate.edu/help-desk,Required for specific affiliates,Students,,https://www.alfredstate.edu/sites/default/files/downloads/PDF/SRFS/NSC%20Enrollment%20Verification%20User%20Guide%20.pdf
52,College of Mount St. Vincent,US Regional,No information found,,,,Required for all affiliates,,https://accounts.mountsaintvincent.edu/ ,No information found,,,Required for all affiliates,,Microsoft Authenticator,https://www.msvu.ca/campus-life/campus-services/it-services/it-security/multi-factor-authentication-mfa/
53,SUNY College of Technology at Canton,US Regional,Recommended,Frequently,,https://www.canton.edu/policies/procedures/admin/computer-use-policy/,Recommended,,https://www.canton.edu/policies/procedures/admin/computer-use-policy/ ,No information found,,,Required for specific affiliates,Remote Computer Lab Users,Microsoft Authenticator,https://www.canton.edu/it/netid.html
54,University of Maine at Farmington,US Regional,Required for all affiliates,180 days,,https://accounts.maine.edu/help/password-help/password-expiration/,Required for all affiliates,,https://www.umf.maine.edu/admissions-aid/passwords-and-mainestreet-access/ ,Required for all affiliates,,https://www.umf.maine.edu/admissions-aid/passwords-and-mainestreet-access/,Recommended,,Duo,https://tdx.maine.edu/TDClient/2624/Portal/KB/ArticleDet?ID=138612
55,High Point University,US Regional,No information found,,,,No information found,,,No information found,,,Required for all affiliates,,Duo,https://www.highpoint.edu/welcomeweek/it/
56,Florida Polytechnic University,US Regional,Required for all affiliates,180 days,,https://netid.floridapoly.org/Accounts/PasswordReq,No information found,,,No information found,,,Required for all affiliates,,Duo,https://floridapoly.edu/technology-services/two-factor.php
57,Beacon College,US Regional,Required for specific affiliates,90 days,Students,https://beaconcollege.cld.bz/Student-Handbook/20/,Required for specific affiliates,Students,https://www.beaconcollege.edu/wp-content/uploads/2024/08/Student-Handbook-AY-2024-2025.pdf,No information found,,,Required for specific affiliates,Students,Microsoft Authenticator,https://my.beaconcollege.edu/ics
58,Flagler College,US Regional,Required for specific affiliates,6 months,Faculty and staff,https://www.flagler.edu/about/office-services/institutional-technology/institutional-technology/special-services-0,Required for all affiliates,,https://www.flagler.edu/about/office-services/institutional-technology/institutional-technology/special-services-0,Required for all affiliates,,https://www.flagler.edu/about/office-services/institutional-technology/institutional-technology/special-services-0,Required for all affiliates,,,https://my.flagler.edu/ICS/Portal_Homepage.jnz?portlet=Free-form_Content_2023-02-16T12-55-48-144
59,Wesleyan College,US Regional,No information found,,,,Required for all affiliates,,https://wesportal.wesleyancollege.edu/ICS/icsfs/Forgot_Password_Need_Recovering_WesleyanCollege.pdf?target=aa254b8d-e9bf-4bed-a65f-6bda3105d0ce,Required for all affiliates,,https://wesportal.wesleyancollege.edu/ICS/icsfs/How_To_Change_Recovery_Questions_on_Wesleyan_Colle.pdf?target=2ba09c45-e37b-47ea-a5c5-960ffc6d65a6,Required for specific affiliates,Departments that handle sensitive/confidential data; remote access to campus network,,https://wesportal.wesleyancollege.edu/ICS/icsfs/Data_Governance_2024.pdf?target=72aff20a-d856-4227-bf93-987c70791bcd
60,Catawba College,US Regional,No information found,,,,Required for all affiliates,,https://it.catawba.edu/kb/article/165-password-guidlines/,Required for all affiliates,,https://it.catawba.edu/kb/article/164-complete-account-set-up/,Required for all affiliates,,Microsoft Authenticator,https://it.catawba.edu/kb/article/164-complete-account-set-up/
61,University of the Ozarks,US Regional,No information found,,,,No information found,,,No information found,,,No information found,,,
62,Spring Hill College,US Regional,Required for all affiliates,1 year,,https://sites.google.com/shc.edu/oit/password-management,No information found,,,Required for all affiliates,,https://sites.google.com/shc.edu/oit/password-management,No information found,,,
63,Huntingdon College,US Regional,No information found,,,,No information found,,,No information found,,,No information found,,,
64,Barton College,US Regional,Recommended,Often,,https://www.barton.edu/campus-safety/safety-tips/,No information found,,,No information found,,,No information found,,,
65,Newberry College,US Regional,Required for specific affiliates,180 days,Faculty and staff,https://my.newberry.edu/ICSFileServer/Policies/PasswordPolicy.pdf,Required for all affiliates,,https://my.newberry.edu/ICSFileServer/Policies/PasswordPolicy.pdf,No information found,,,No information found,,,
66,Illinois Wesleyan University,US Regional,No information found,,,,Required for all affiliates,,https://www.iwu.edu/information-technology-services/help-desk/password-change.html,No information found,,,Required for all affiliates,,Duo,https://www.iwu.edu/information-technology-services/how-to-set-up-duo-mobile-on-your-device.html
67,Ohio Northern University,US Regional,No information found,,,,No information found,,,No information found,,,No information found,,,
68,College of the Ozarks,US Regional,No information found,,,,No information found,,,No information found,,,No information found,,,
69,Taylor University,US Regional,No information found,,,,Required for all affiliates,,https://helpdesk.taylor.edu/help/article/299990,No information found,,,Required for specific affiliates,All employees and students who access protected data,Microsoft authenticator,https://helpdesk.taylor.edu/help/article/287093
70,Simpson College,US Regional,No information found,,,,Required for all affiliates,,https://account.simpsonu.edu/ChangePassword,No information found,,,No information found,,,
71,Cottey College,US Regional,No information found,,,,No information found,,,No information found,,,No information found,,,
72,Alma College,US Regional,Required for all affiliates,1 year,,https://www.alma.edu/wp-content/uploads/2023/07/password-policypdf.pdf,Required for specific affiliates,"Privileged accounts, system administrators, and service accounts",https://www.alma.edu/wp-content/uploads/2023/07/password-policypdf.pdf,No information found,,,Required for specific affiliates,Accounts with priviledged access,,https://www.alma.edu/wp-content/uploads/2023/07/password-policypdf.pdf
73,Benedictine College  ,US Regional,Required for all affiliates,6 months,,https://help.ben.edu/hc/en-us/articles/1500001311841-Reset-Your-Email-Password,Required for all affiliates,,https://help.ben.edu/hc/en-us/articles/1500001311841-Reset-Your-Email-Password,No information found,,,Required for all affiliates,,Microsoft Authenticator,https://help.ben.edu/hc/en-us/articles/360058988853-Multi-Factor-Authentication-MFA 
74,William Jewell College,US Regional,Required for specific affiliates,6 months,Faculty and staff,https://www.jewell.edu/password-policy,Required for all affiliates,,https://www.jewell.edu/password-policy,No information found,,,Recommended,,,https://www.jewell.edu/password-policy
75,Hiram College,US Regional,Required for specific affiliates,90 days,Students,https://helpdesk.hiram.edu/new-students,Required for all affiliates,,https://helpdesk.hiram.edu/wp-content/uploads/2016/01/Change-Your-Password.pdf,Required for all affiliates,,https://helpdesk.hiram.edu/wp-content/uploads/2016/01/Reset-Your-Password.pdf,Required for all affiliates,,Duo,https://helpdesk.hiram.edu/duo-faqs/
76,Lake Superior State University,US Regional,No information found,,,,No information found,,,No information found,,,No information found,,,
77,Embry-Riddle Aeronautical University--Prescott,US Regional,No information found,,,,Recommended,,https://news.erau.edu/headlines/tips-for-producing-strong-passwords,Required for all affiliates,,https://prescott.erau.edu/admissions/applied-students/ernie,Required for specific affiliates,Students,Duo,https://erau.edu/-/media/files/university/students-gai-registration-instructions-2022.pdf
78,California State University--Maritime Academy,US Regional,Required for all affiliates,1 year,,https://www.csum.edu/it/faq/passwords.html,Required for all affiliates,,https://www.csum.edu/it/security/stagingpagedonotpublish.html,No information found,,,Required for all affiliates,,Duo,https://www.csum.edu/it/security/information-security-campus-services/index.html
79,Carroll College,US Regional,No information found,,,,No information found,,,No information found,,,No information found,,,
80,Criswell College,US Regional,No information found,,,,No information found,,,No information found,,,Required for specific affiliates,Students,Google Authenticator,https://www.criswell.edu/life-at-criswell/student-services/it-support/
81,Oregon Institute of Technology,US Regional,Required for all affiliates,1 year,,https://www.oit.edu/technology-services/default-account-login-information,Required for all affiliates,,https://www.oit.edu/technology-services/default-account-login-information,Required for all affiliates,,https://ssb-prod.ec.oit.edu/PROD/twbkwbis.P_WWWLogin,No information found,,,
82,Fashion Institute of Design & Merchandising,US Regional,No information found,,,,No information found,,,No information found,,,No information found,,,
83,College of Idaho,US Regional,Required for all affiliates,1 year,,https://cofi.instructure.com/courses/14732/pages/how-to-change-your-password,Required for all affiliates,,https://cofi.instructure.com/courses/14732/pages/how-to-change-your-password,No information found,,,Required for all affiliates,,Microsoft authenticator,https://cofi.instructure.com/courses/14732/pages/multi-factor-authentification-mfa
84,Brigham Young University--Hawaii,US Regional,No information found,,,,Recommended,,https://oit.byuh.edu/learn/passwords,Required for all affiliates,,https://byuh.teamdynamix.com/TDClient/1902/Portal/KB/ArticleDet?ID=130766,Required for all affiliates,,Duo,https://oit.byuh.edu/learn/2fa
85,Brigham Young University--Idaho,US Regional,Recommended,6 months,,https://td.byui.edu/TDClient/79/ITHelpCenter/Questions/Details/102491,No information found,,,Recommended,,https://td.byui.edu/TDClient/79/ITHelpCenter/KB/ArticleDet?ID=11784,Required for all affiliates,,Duo,"https://td.byui.edu/TDClient/79/ITHelpCenter/KB/ArticleDet?ID=11648
https://td.byui.edu/TDClient/79/ITHelpCenter/KB/ArticleDet?ID=11649 "
86,University of Toronto,Canadian,No information found,,,,Recommended,,https://security.utoronto.ca/best-practice-tips/craft-strong-passwords/,Recommended,,https://security.utoronto.ca/services/utorid/faqs/,Required for all affiliates,,Duo,https://security.utoronto.ca/services/utormfa/usage-guide/
87,University of British Columbia,Canadian,Required for all affiliates,1 year,,https://cio.ubc.ca/information-security-standards/U2,Recommended,,https://it.ubc.ca/services/cybersecurity-services/ubc-information-security-office/password-security,Required for all affiliates,,https://it.ubc.ca/services/accounts-passwords/campus-wide-login-cwl/using-password-recovery-system,Required for all affiliates,,Duo,https://it.ubc.ca/services/accounts-passwords/multi-factor-authentication-mfa 
88,McGill University,Canadian,No information found,,,,No information found,,,Recommended,,https://www.mcgill.ca/system-warnings/password-security-questions-reset-unavailable,Required for all affiliates,,Microsoft authenticator,https://www.mcgill.ca/study/2024-2025/university_regulations_and_resources/undergraduate/gi_mcgill_it_policies_regulations#topic_620B63D8D7764F4C9160A82CDC246FF2
89,University of Alberta,Canadian,No information found,,,,Required for all affiliates,,https://myccid.ualberta.ca/help/password-tips,No information found,,,Required for specific affiliates,Faculty & staff,Duo,https://www.ualberta.ca/en/information-services-and-technology/security/multi-factor-authentication-for-faculty-and-staff.html
90,McMaster University,Canadian,Recommended,1 year,,https://informationsecurity.mcmaster.ca/standards/password/,Required for all affiliates,,https://informationsecurity.mcmaster.ca/standards/password/,No information found,,,Required for all affiliates,,Microsoft authenticator,https://office365.mcmaster.ca/mfa/ 
91,Universite de Montreal,Canadian,No information found,,,,Required for all affiliates,,https://identification.umontreal.ca/PopupAuthen/regles.html,No information found,,,No information found,,,
92,University of Calgary,Canadian,No information found,,,,Recommended,,https://it.ucalgary.ca/it-security/passwords-best-practices,No information found,,,Required for all affiliates,,Microsoft Authenticator,https://it.ucalgary.ca/mfa/gettingstarted
93,University of Waterloo,Canadian,Recommended,126 days,,https://uwaterloo.ca/information-systems-technology/about/organizational-structure/information-security-services/password-standards ,Disallowed,,https://uwaterloo.ca/information-systems-technology/about/organizational-structure/information-security-services/password-standards,Required for specific affiliates,Students,https://cs.uwaterloo.ca/twiki/view/CF/HelpDeskGuide,Required for all affiliates,,Duo,https://uwaterloo.ca/the-centre/quest/quest-help
94,University of Ottawa,Canadian,Required for all affiliates,"30 days (sensitive data), 90 days (other data)",,https://www.uottawa.ca/about-us/information-technology/services/account/guidelines,Required for all affiliates,,https://www.uottawa.ca/about-us/information-technology/services/account/guidelines,No information found,,,Required for all affiliates,,MIcrosoft Authenticator,https://www.uottawa.ca/about-us/information-technology/services/security/mfa
95,Western University (University of Western Ontario),Canadian,Recommended,Once or twice a year,,https://ssts.uwo.ca/support/helpdocuments/passwords.html,Required for all affiliates,,https://wts.uwo.ca/identity/passwords/pwpolicy.html,Required for specific affiliates,Alumni,https://alumni.westernu.ca/purple-perks/email-for-life/faq.html,Required for all affiliates,,Duo,https://wts.uwo.ca/mfa/index.html
96,Dalhousie University,Canadian,No information found,,,,Disallowed,,https://myaccount.dal.ca/faq,No information found,,,Required for all affiliates,,Microsoft Authenticator,https://www.dal.ca/dept/its/new/multi-factor-authentication.html 
97,Simon Fraser University,Canadian,Required for all affiliates,1 year,,https://www.sfu.ca/information-systems/announcements-alerts/major-initiatives/university-wide-password-change-initiative.html,Required for specific affiliates,Administrative users,https://www.sfu.ca/information-systems/services/gosfu/staff-access/gosfu-guidelines.html,No information found,,,Required for all affiliates,,LastPass Authenticator,https://sfu.teamdynamix.com/TDClient/255/ITServices/KB/ArticleDet?ID=3986
98,University of Victoria,Canadian,No information found,,,,No information found,,,No information found,,,Required for all affiliates,,Duo,https://www.uvic.ca/systems/netlink/2fa/index.php
